MarketCenter,idate,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType
CDRG,201609,NASDAQ,15,76713,14744435,7582570,5717899,0,599144,774153,619553,1570481,1353236,0.015826196073068097,0.0,0.0,,,0.0,,0.0,0.0,,5717899,0.0,0.0,0.0,0.0,90492.5907,0.0,0.0,0.0,0.0,Other
CDRG,201609,NYSE,11,1049763,213730781,1576668,212131535,0,212118871,8729,1585,2050,300,0.0012936057328770145,0.004917875509645461,199296594.0,0.010570064800505314,0.0024973362063578468,12303715.0,0.02056397600237002,531226.0,25.33040000000021,0.2456338733420427,212131535,497710.6,2106577.9130999986,253013.30000000005,130487.09999999998,274414.569800001,1043236.4807999991,0.9394953654580401,0.05800040526742053,0.0025042292745394968,Market
CDRG,201609,NYSE,12,7030337,1000714221,650376141,350317521,0,350205084,59046,20468,21799,8748,0.009223684253862942,0.0200749881776538,104775772.0,0.003472560394973756,0.0023320925757531045,243836903.0,0.0863491975207706,1704846.0,28.818400000000306,0.3663268705795129,350317521,244346.8,363840.19620000024,21055120.89999998,624530.9000000003,3231218.2023000005,7032620.092499985,0.29908801506962024,0.6960454113284273,0.004866573601952385,Limit
CDRG,201609,NYSE,13,1023912,133446080,124683259,8690268,0,7742900,258819,158228,277419,177153,0.007469942630077701,0.0,0.0,,,0.0,,0.0,0.0,,8690268,0.0,0.0,0.0,0.0,64915.803400000084,0.0,0.0,0.0,0.0,Other
CDRG,201609,NYSE,14,414551,64408717,57238694,7041977,0,3692593,1086320,672964,1026770,439727,0.0008461065976216595,0.0,0.0,,,0.0,,0.0,0.0,,7041977,0.0,0.0,0.0,0.0,5958.26319999998,0.0,0.0,0.0,0.0,Other
CDRG,201609,NYSE,15,132268,23891681,14836210,7336907,0,479611,788840,745245,2174031,1990283,0.006759768864454742,0.0,0.0,,,0.0,,0.0,0.0,,7336907,0.0,0.0,0.0,0.0,49595.79550000005,0.0,0.0,0.0,0.0,Other
CDRG,201609,Other,11,659336,139976650,1641756,138317634,0,138281162,26176,8040,1793,463,0.0033466510596906296,0.00628788920724309,127125994.0,0.01292462341572727,0.0045016261583763865,10750645.0,0.04016239025658462,440995.0,14.967999999999947,0.9417109037517428,138317634,572273.6999999997,1643055.5988000045,431771.60000000015,415289.79999999993,462900.85640000063,869725.958,0.9190873956100204,0.07772432689240477,0.003188277497574893,Market
CDRG,201609,Other,12,3132730,463950525,311223653,152705712,0,152625232,38654,12385,15436,10125,0.007548862192528858,0.01935596282606636,63147209.0,0.004165346726567118,0.010160637503393063,88399740.0,0.35032430412125665,1158763.0,15.456199999999912,1.8353888586363216,152705712,641615.9,263030.0202999997,30968577.400000013,2126780.7,1152754.3759000006,2955766.084799996,0.41352224597859183,0.5788895440924959,0.007588209928912155,Limit
CDRG,201609,Other,13,676912,96621681,92212320,4218512,0,3192080,237625,133889,285877,231513,0.006787490944674322,0.0,0.0,,,0.0,,0.0,0.0,,4218512,0.0,0.0,0.0,0.0,28633.111999999965,0.0,0.0,0.0,0.0,Other
CDRG,201609,Other,14,184711,35973420,31552767,4264597,0,2698843,406600,258440,471012,300651,0.0001277849466198114,0.0,0.0,,,0.0,,0.0,0.0,,4264597,0.0,0.0,0.0,0.0,544.9513000000079,0.0,0.0,0.0,0.0,Other
CDRG,201609,Other,15,84090,15951232,10476069,4272670,0,579380,636660,478835,1102469,920810,0.013642500356919671,0.0,0.0,,,0.0,,0.0,0.0,,4272670,0.0,0.0,0.0,0.0,58289.90199999997,0.0,0.0,0.0,0.0,Other
CDRG,201610,NASDAQ,11,601098,121710591,1684061,119984319,30269,119987299,11355,6142,7912,1115,0.005925563689807423,0.013655057995949644,111730546.0,0.01931059326157768,0.020417655526358918,7777415.0,0.046626469077450564,506627.0,30.759600000000077,6.7327613806607225,120014588,2281275.8,2157583.128699994,362633.40000000014,3410998.7,711154.0848999977,1638806.1595000022,0.93097470784135,0.06480391367089475,0.004221378487755172,Market
CDRG,201610,NASDAQ,12,3486206,512613440,340377368,172177039,33972,172123946,31689,12368,27180,10854,0.014807688334748815,0.030844149146189,56607897.0,0.007918144175184591,0.015556530920058731,114472922.0,0.29390729189213843,1130192.0,28.310100000000208,3.4581980760791087,172211011,880622.5,448229.4898999993,33644426.49999999,3908427.8,2550046.9787,5311702.107899995,0.32871241316851685,0.664724754446741,0.006562832384742228,Limit
CDRG,201610,NASDAQ,13,913613,125998496,116589459,9141035,91943,7639139,430297,244025,467526,299965,0.004522955637931761,0.0,0.0,,,0.0,,0.0,0.0,,9232978,0.0,0.0,0.0,0.0,41760.34989999992,0.0,0.0,0.0,0.0,Other
CDRG,201610,NASDAQ,14,328646,54245882,49574833,4424774,44776,2021547,606643,401216,763659,475604,0.003137106330614925,0.0,0.0,,,0.0,,0.0,0.0,,4469550,0.0,0.0,0.0,0.0,14021.453599999937,0.0,0.0,0.0,0.0,Other
CDRG,201610,NASDAQ,15,96107,17832613,11072627,4851450,323572,462119,615358,537364,1407913,1299309,0.010626772523865602,0.0,0.0,,,0.0,,0.0,0.0,,5175022,0.0,0.0,0.0,0.0,54993.78160000002,0.0,0.0,0.0,0.0,Other
CDRG,201610,NYSE,11,1009409,206037223,1828754,204157053,28691,204149616,9926,12457,10822,2923,0.0017398440172199292,0.0056943934313063455,193110699.0,0.010120882679835342,0.009813864844433086,10563639.0,0.021239167676971926,511406.0,27.03490000000014,4.33134632757535,204185744,1895162.3,1954450.728799996,224362.9,2215076.4999999995,355251.3451000001,1162713.9593999991,0.9457599498229416,0.051735438493688383,0.0025046116833700198,Market
