MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT
BNYC,2015Q2,NYSE,11,319748,65791725,70489,65713305,0,65635191,65916,5633,6108,457,0.011020059195013858,0.012403939629881662,61721213.0,0.005002608571545732,0.19134380589701003,2768642.0,0.679804792385581,1223450.0,31.951100000000007,1.5310051085046386,65713305,11809971.800000012,308767.06919999985,1882136.0999999999,1873108.2,724164.5110000002,815103.8681000008,0.9392498672833455,0.04213213747200814,0.018617995244646423,Market,0.004698699436894855,0.23686551909084486,0.8987581199098678,0.040491747373477716,0.16960614044188924,0.02173766545512079,0.006718416786786599,-0.002019717349891744,0.30232306491242217,-0.06545754582157731
BNYC,2015Q2,NYSE,12,37618,8105118,5839,8087294,0,8058976,12966,3644,7853,3330,0.018825930713041977,0.021890089985599638,6951462.0,0.0005203127485987829,0.17579071855675824,1011799.0,6.015314207663775,124033.0,5.510000000000003,18.63358299807309,8087294,1222002.4999999998,3616.934299999992,6086288.9,2311179.1999999997,152250.8365000001,177031.59340000004,0.8595535169118372,0.1251097091313856,0.015336773956777136,Limit,0.00044723665295214846,1.1894547916769194,0.6078493365606131,0.2517041803512241,0.9738943726019283,-0.7981036540451701,0.004133306368207975,-0.003686069715255827,1.2272992023234186,-0.03784441064649924
BNYC,2015Q2,NYSE,13,7752,1612355,320712,1241168,0,638599,157572,97048,190721,115205,0.030743474614234337,0.0,0.0,,,0.0,,0.0,0.0,,1241168,0.0,0.0,0.0,0.0,38157.816900000005,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q2,NYSE,14,13720,2955422,704710,2124841,0,428908,368512,280311,571339,350301,0.014535391542237742,0.0,0.0,,,0.0,,0.0,0.0,,2124841,0.0,0.0,0.0,0.0,30885.39589999999,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q2,NYSE,15,37912,7970262,2418893,4299814,0,200660,355078,366349,1222142,1296863,0.017690234205479577,0.0,0.0,,,0.0,,0.0,0.0,,4299814,0.0,0.0,0.0,0.0,76064.71669999996,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q2,Other,11,219338,47280422,70495,47203370,0,47134867,58418,5832,3561,692,0.012946586180181616,0.015222494790096554,43873509.0,0.00539270629572848,0.251563441164462,2619816.0,0.812241317710862,710045.0,17.58109999999997,2.119049637699019,47203370,11036970.899999995,236596.94820000013,2127922.8,1504620.5999999999,611122.4976999995,718553.0538999999,0.9294571340986882,0.05550061362144271,0.015042252279869,Market,0.005012289338663746,0.3107726058542006,0.9029033668425477,0.02655376725614056,0.3574147901006228,-0.10585134893616083,0.008030389593676754,-0.0030181002550130082,0.5973359768336738,-0.2865633709794732
BNYC,2015Q2,Other,12,24633,5455643,6465,5438431,0,5418226,9869,3142,4115,2554,0.022736797580037313,0.024818224594556768,4443003.0,0.0005620060576146349,0.20694982650248042,907373.0,4.820166899389776,88055.0,4.414000000000003,5.193812957810461,5438431,919478.7000000001,2496.994599999996,4373689.3,457341.20000000007,123652.50479999991,134972.20199999996,0.8169641207179056,0.16684462853348694,0.016191250748607458,Limit,0.0004591387846972768,1.0573838667806947,0.5711759782228737,0.2457881424950319,0.39669098065059,-0.18974115414810958,0.00198588718131841,-0.0015267483966211332,1.230555215862054,-0.17317134908135934
BNYC,2015Q2,Other,13,6473,1429173,340247,996179,0,458612,118354,78121,168046,118422,0.025955315259606964,0.0,0.0,,,0.0,,0.0,0.0,,996179,0.0,0.0,0.0,0.0,25856.140000000007,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q2,Other,14,8639,1946507,544042,1294047,0,259607,200439,143797,336268,251300,0.013298423859411596,0.0,0.0,,,0.0,,0.0,0.0,,1294047,0.0,0.0,0.0,0.0,17208.785499999998,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q2,Other,15,20332,4570919,1583550,2150830,0,96435,175652,172653,567190,652051,0.013036539010521521,0.0,0.0,,,0.0,,0.0,0.0,,2150830,0.0,0.0,0.0,0.0,28039.379200000003,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
