MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT,Broker,Rebate,MktShare,Rebate_Dummy,Broker_Size
BNYC,2015 Q2,Other,11,219338,47280422,70495,47203370,0,47134867,58418,5832,3561,692,0.012946586180181616,0.015222494790096554,43873509.0,0.00539270629572848,0.251563441164462,2619816.0,0.812241317710862,710045.0,17.58109999999997,2.119049637699019,47203370,11036970.899999995,236596.94820000013,2127922.8,1504620.5999999999,611122.4976999995,718553.0538999999,0.9294571340986882,0.05550061362144271,0.015042252279869,Market,0.005012289338663746,0.3107726058542006,0.9029033668425477,0.02655376725614056,0.3574147901006228,-0.10585134893616083,0.008030389593676754,-0.0030181002550130082,0.5973359768336738,-0.2865633709794732,Insigneo Securities,0.0,0.7196,0,
BNYC,2015 Q2,Other,12,24633,5455643,6465,5438431,0,5418226,9869,3142,4115,2554,0.022736797580037313,0.024818224594556768,4443003.0,0.0005620060576146349,0.20694982650248042,907373.0,4.820166899389776,88055.0,4.414000000000003,5.193812957810461,5438431,919478.7000000001,2496.994599999996,4373689.3,457341.20000000007,123652.50479999991,134972.20199999996,0.8169641207179056,0.16684462853348694,0.016191250748607458,Limit,0.0004591387846972768,1.0573838667806947,0.5711759782228737,0.2457881424950319,0.39669098065059,-0.18974115414810958,0.00198588718131841,-0.0015267483966211332,1.230555215862054,-0.17317134908135934,Insigneo Securities,0.0,0.6697,0,
BNYC,2015 Q3,NASDAQ,11,183886,37575548,1340,37572979,0,37520094,45325,4081,2768,311,0.022873657106081465,0.029946967939380068,34114061.0,0.005937267890797287,0.27601348898332567,2893159.0,0.4235202766249626,565759.0,22.54699999999998,2.8722901447436096,37572979,9415941.0,202544.319,1225311.5000000002,1625023.9999999998,859431.4380999997,1125196.7975000006,0.907941342633492,0.07700105440135582,0.015057602965152165,Market,0.0053906909803452105,0.32646537023322,0.8869099309950101,0.02103141163848188,0.42976390928017194,-0.15375042029684627,0.01374468841704272,-0.00835399743669751,0.8075818327284651,-0.4811164624952451,Bank of the West,0.0,0.0,0,
BNYC,2015 Q3,NASDAQ,11,183886,37575548,1340,37572979,0,37520094,45325,4081,2768,311,0.022873657106081465,0.029946967939380068,34114061.0,0.005937267890797287,0.27601348898332567,2893159.0,0.4235202766249626,565759.0,22.54699999999998,2.8722901447436096,37572979,9415941.0,202544.319,1225311.5000000002,1625023.9999999998,859431.4380999997,1125196.7975000006,0.907941342633492,0.07700105440135582,0.015057602965152165,Market,0.0053906909803452105,0.32646537023322,0.8869099309950101,0.02103141163848188,0.42976390928017194,-0.15375042029684627,0.01374468841704272,-0.00835399743669751,0.8075818327284651,-0.4811164624952451,Insigneo Securities,0.0,0.6991,0,
BNYC,2015 Q3,NASDAQ,12,26846,5678328,9619,5667435,0,5645141,12456,2933,5406,1010,0.030150415928899065,0.03581148080216183,4734320.0,0.00089627876865104,0.17997710336436912,806548.0,3.570555007265531,126567.0,5.5625,10.46843648028317,5667435,852069.2,4243.270499999991,2879823.9999999995,1324958.6,170875.52250000008,202959.23970000003,0.8353549709877572,0.142312704071595,0.022332324940647755,Limit,0.0007487109247834323,0.892264631177949,0.6230494708980845,0.21230550008967275,0.17249841855970952,0.007478684804659602,0.004886942359056017,-0.004138231434272584,0.8558993383572289,0.036365292820720097,Bank of the West,0.0,0.0,0,
BNYC,2015 Q3,NASDAQ,12,26846,5678328,9619,5667435,0,5645141,12456,2933,5406,1010,0.030150415928899065,0.03581148080216183,4734320.0,0.00089627876865104,0.17997710336436912,806548.0,3.570555007265531,126567.0,5.5625,10.46843648028317,5667435,852069.2,4243.270499999991,2879823.9999999995,1324958.6,170875.52250000008,202959.23970000003,0.8353549709877572,0.142312704071595,0.022332324940647755,Limit,0.0007487109247834323,0.892264631177949,0.6230494708980845,0.21230550008967275,0.17249841855970952,0.007478684804659602,0.004886942359056017,-0.004138231434272584,0.8558993383572289,0.036365292820720097,Insigneo Securities,0.0,0.528,0,
BNYC,2015 Q3,NYSE,11,297075,61218910,100,61213963,0,61164473,43151,4004,1276,1059,0.011103509073575258,0.01419281609981697,56730381.0,0.004916593126705776,0.15795324907125147,3929811.0,0.32135181564711407,553771.0,19.40679999999996,1.2357145823815259,61213963,8960747.999999993,278920.20129999996,1262851.900000001,684302.9,679689.7936000001,868798.5196000002,0.9267555671897929,0.06419795104590761,0.00904648176429943,Market,0.004556480051781649,0.17819305049731862,0.9150998507041294,0.011655716485663548,0.7393954725568305,-0.581442223485579,0.007804302408933672,-0.0032478223571520224,1.1128114393370294,-0.9346183888397108,Bank of the West,0.0,0.0,0,
BNYC,2015 Q3,NYSE,11,297075,61218910,100,61213963,0,61164473,43151,4004,1276,1059,0.011103509073575258,0.01419281609981697,56730381.0,0.004916593126705776,0.15795324907125147,3929811.0,0.32135181564711407,553771.0,19.40679999999996,1.2357145823815259,61213963,8960747.999999993,278920.20129999996,1262851.900000001,684302.9,679689.7936000001,868798.5196000002,0.9267555671897929,0.06419795104590761,0.00904648176429943,Market,0.004556480051781649,0.17819305049731862,0.9150998507041294,0.011655716485663548,0.7393954725568305,-0.581442223485579,0.007804302408933672,-0.0032478223571520224,1.1128114393370294,-0.9346183888397108,Insigneo Securities,0.0,0.6718,0,
BNYC,2015 Q3,NYSE,12,30333,6471136,12422,6458307,0,6436665,11479,3210,4457,1401,0.016146953141125034,0.021530337842409784,5364392.0,0.0004420160383506634,0.15644559532562125,1010052.0,6.081209383279277,83863.0,4.210000000000003,4.6520515602828425,6458307,839235.5,2371.147299999992,6142337.7,390135.0,104281.98049999979,139049.53160000002,0.8306189222655411,0.15639578607830196,0.012985291656156946,Limit,0.0003671468853989121,1.1414304398970194,0.6003788207832953,0.23024010148224583,0.1614152406476859,-0.0049696453220646475,0.003006800037955431,-0.0026396531525565187,0.7388091773611539,0.4026212625358655,Bank of the West,0.0,0.0,0,
BNYC,2015 Q3,NYSE,12,30333,6471136,12422,6458307,0,6436665,11479,3210,4457,1401,0.016146953141125034,0.021530337842409784,5364392.0,0.0004420160383506634,0.15644559532562125,1010052.0,6.081209383279277,83863.0,4.210000000000003,4.6520515602828425,6458307,839235.5,2371.147299999992,6142337.7,390135.0,104281.98049999979,139049.53160000002,0.8306189222655411,0.15639578607830196,0.012985291656156946,Limit,0.0003671468853989121,1.1414304398970194,0.6003788207832953,0.23024010148224583,0.1614152406476859,-0.0049696453220646475,0.003006800037955431,-0.0026396531525565187,0.7388091773611539,0.4026212625358655,Insigneo Securities,0.0,0.5382,0,
